"","Red wine"
"1",464
"2",675
"3",703
"4",887
"5",1139
"6",1077
"7",1318
"8",1260
"9",1120
"10",963
"11",996
"12",960
"13",530
"14",883
"15",894
"16",1045
"17",1199
"18",1287
"19",1565
"20",1577
"21",1076
"22",918
"23",1008
"24",1063
"25",544
"26",635
"27",804
"28",980
"29",1018
"30",1064
"31",1404
"32",1286
"33",1104
"34",999
"35",996
"36",1015
"37",615
"38",722
"39",832
"40",977
"41",1270
"42",1437
"43",1520
"44",1708
"45",1151
"46",934
"47",1159
"48",1209
"49",699
"50",830
"51",996
"52",1124
"53",1458
"54",1270
"55",1753
"56",2258
"57",1208
"58",1241
"59",1265
"60",1828
"61",809
"62",997
"63",1164
"64",1205
"65",1538
"66",1513
"67",1378
"68",2083
"69",1357
"70",1536
"71",1526
"72",1376
"73",779
"74",1005
"75",1193
"76",1522
"77",1539
"78",1546
"79",2116
"80",2326
"81",1596
"82",1356
"83",1553
"84",1613
"85",814
"86",1150
"87",1225
"88",1691
"89",1759
"90",1754
"91",2100
"92",2062
"93",2012
"94",1897
"95",1964
"96",2186
"97",966
"98",1549
"99",1538
"100",1612
"101",2078
"102",2137
"103",2907
"104",2249
"105",1883
"106",1739
"107",1828
"108",1868
"109",1138
"110",1430
"111",1809
"112",1763
"113",2200
"114",2067
"115",2503
"116",2141
"117",2103
"118",1972
"119",2181
"120",2344
"121",970
"122",1199
"123",1718
"124",1683
"125",2025
"126",2051
"127",2439
"128",2353
"129",2230
"130",1852
"131",2147
"132",2286
"133",1007
"134",1665
"135",1642
"136",1518
"137",1831
"138",2207
"139",2822
"140",2393
"141",2306
"142",1785
"143",2047
"144",2171
"145",1212
"146",1335
"147",2011
"148",1860
"149",1954
"150",2152
"151",2835
"152",2224
"153",2182
"154",1992
"155",2389
"156",2724
"157",891
"158",1247
"159",2017
"160",2257
"161",2255
"162",2255
"163",3057
"164",3330
"165",1896
"166",2096
"167",2374
"168",2535
"169",1041
"170",1728
"171",2201
"172",2455
"173",2204
"174",2660
